HUMAN,SMOL
think,tink
small,smol
thing,ting
human,hooman
the,ze
day,dey
weak,wek
crypto,brypto
is,issa
you,hue
big,BEEG
fuck,fak
wtf,watafak
what,wot
fridge,fridg
craig,fraud
wright,fraud
csw,fraud
eth,et Hirium
ethereum,et Hirium
bitcoin,bipcoin
cardano,cordanoh
ation,ayshun
like,liek
lmao,lmwo
smh,smw
yes,yas
time,tiem
there,dere
have,hab
one,wan
lips,kiessers
king,quing
queen,quing
love,luv
shit,shid
chocolate,choccy
europe,yurope
best,bes
their,deir
family,famalie
cut,kut
when,wen
dump,dunp
again,agane
friend,fren
thought,thot
AHHH,REEE
though,tho
them,dem
way,wei
bull,bulla
bear,bera
safe,safu
people,pipl
good,gud
would,wud
suck,succ
these,deez
pump,punp
little,lil
ass,arse
that,dat
gm,gw
ngl,ngw
lick,licc
stuck,stucc
night,nyte
:),:3
